Place,City,Lat,Long,Description
Pecinan Glodok,Jakarta,-6.1427588,106.8140791,"The Glodok area known as the center of electronic trade itself was once a former haunted Glodok prison.This location is across the Glodok-Pancoran in the Harco area.Before the May 1998 riots, this area had become an electronic shopping center for Japanese, Taiwan and Hong Kong tourists.In Pinangsia, people can find household and building equipment products.In addition to shopping tourism, Glodok-Pancoran Chinatown is also a historical site from the beginning of Jakarta.After the Chinese ethnic residence and building a business, as well as sugarcane plantations, Batavia began to develop rapidly."
Sea World,Jakarta,-6.1264775,106.842963,"Seaworld Indonesia is a miniature of sea charm contained in the first tourist complex in Taman Impian Jaya Ancol. \ N on October 2, 1992, the Governor of DKI at that time, Wiyogo Atmodarminto laid the first stone of the development of Seaworld Indonesia.In less than two years, on June 3, 1994, Seaworld Indonesia had begun to operate.Seaworld area covering an area of 3 hectares with a main building area of 4,500 m2 containing various kinds of aquariums, antasena hallways (underwater hallway), libraries, museums, doctor therapy, glow theater, touch screen educational computers contain information on various species in Seaworld and various complementary facilities forVisitors such as eating places, souvenir shops, and multipurpose rooms."
Wisata Agro Edukatif Istana Susu Cibugary,Jakarta,-6.3568093,106.9062371,"AGRO EDUCATIVE Tourism Area of the ""Cibugary"" milk palace (Cibubur Garden Dairy) is an agro -dairy farm in nuanced garden and parks.Cibubur Garden Dairy Education Tourism (Cibugary) is an educational tourism that is in demand by school students.Education Introduction to Cattle Farm provides experience that cannot be forgotten by school students.This not too much and fun educational activity is very popular with school students.This educational tour can increase knowledge and experience directly for school students.Educative Tour Package of the Cibugary Milk Palace is valued between Rp 35,000 to Rp 65,000 per person.The price includes several bottles of pasteurized milk and cibugary goodybag."
Wisata Kuliner Pecenongan,Jakarta,-6.1667887,106.8265261,"Pecenongan is one of the culinary paradise in Central Jakarta which is known since the time of Jakarta is still called Batavia City.Previously in this area there were street vendors selling culinary on the side of the road, but year after year the Pecenongan area was increasingly crowded with the presence of restaurants that began to be built.This Pecenongan area is suitable for those of you who want to travel culinary at night, various types of culinary that certainly makes you confused about which one first.No wonder people who have tried to go culinary here will definitely come back again."
Taman Menteng,Jakarta,-6.1964087,106.8293106,"Taman Menteng is a park located in the Menteng area, Central Jakarta.This park was once occupied by Menteng Stadium. \ Ntaman stands on an area of 2.9 hectares, and has a collection of 30 different plant species.Taman Menteng also has a variety of supporting facilities such as playgrounds for children and futsal and basketball fields.Interestingly, in this park there are also 44 infiltration wells to help the absorption of rainwater into the ground."
Wisata Alam Mangrove Angke,Jakarta,-6.105334,106.735584,"Do not think in Jakarta there is no nature tourism.Immediately drove to North Jakarta, precisely at Kamal Muara Penjaringan or Pantai Indah Kapuk.In this area there is a natural tourist area, the Jakarta Mangrove Tourism Park which is now and in recent years in the middle of hits.In this area there are three areas, one in the form of Muara Angke Wildlife Reserve which is closed to the public, the Mangrove Forest owned by the DKI Provincial Government but is not very interesting for tourism.Furthermore, the Angke Mangrove Nature Tourism Park which is indeed a tourist area based on mangrove conservation."
Setu Babakan,Jakarta,-6.3416667,106.8238889,"Setu Babakan or Lake Babakan is located in Srengseng Sawah, Jagakarsa District, Municipality of South Jakarta, Indonesia near Depok which functions as a center for Betawi cultural villages, an area intended for preservation of Jakarta cultural heritage, namely the original Betawi culture.August 18, 2000 through the Decree of the Governor of DKI Jakarta Number 92 of 2000 issued by the Governor of DKI Jakarta at that time, namely Sutiyoso \ nsitu Babakan was an artificial lake with an area of 30 hectares (79 Akre) with a depth of 1-5 meters where the water came from the Ciliwung RiverAnd now it is used as an alternative tourist spot, for residents and visitors.-nam, and jengkol. \ n many typical Betawi culinary is here, including egg crust, fried sprouts, sweet arum, duck salad, soto betawi, ice pieces, durian ice, pletok beer, uduk rice, ulam rice, vegetable rice cake, etc.. \ n the cultural tour that is presented between the two typical Betawi houses which are divided into 3 types, first the Betawi warehouse or cage houses, the second Betawi Kebaya or Bapang houses, and the third is Joglo House, almost similar to Yogyakarta's typical house.Lenong, Mask Dance, Tanjidor, Marawis, Kromong Gambang, Lenggang Nyai Dance, and Narojeng Dance. \ Nupamators in the Betawi Setu Babakan village are circumcision bride, moving house, khatam Qur'an, and seven months.Setu Babakan is Betawi, with a program from the DKI Regional Government to improve existing facilities and infrastructure to accommodate the needs of green open space, as well as areas for water catchment, Setu Babakan improves itself with the full support of the DKI Regional Government.Betawi culture is increasingly eroded by the times, but is also used as a place for alternative recreation located in southern Jakarta.In addition to its main function as a storage of infiltration water for southern Jakarta,"
Taman Suropati,Jakarta,-6.1994034,106.8326228,"Taman Suropati (originally named Burgemeester Bisschopplein) is the name of a park in Jakarta.Initially the name of the park was taken from the name of the first Mayor of Batavia, G.J.Bisshop (1916-1920).This park is the center of the Menteng area, located right between the meeting of three main roads, namely Menteng Boulevard (Jalan Teuku Umar), Orange Boulevard (Jalan Diponegoro), and Nassau Boulevard (Jalan Imam Bonjol).The field which is now referred to as Taman Suropati since 1920 has replaced a large round field in Moojen's plan.Taman Suropati, which is said to be the zero point of the Republic of Indonesia, has become a shady park and has been decorated with sculptures of sculptures from the founding countries of the Southeast Asian nations."
Pasar Taman Puring,Jakarta,-6.241369,106.7890587,"Puring Park is not a literal park.Since it existed in 1960 ago, Puring Park is a market.Over the years, this market had become a black market, aka the market of illegal goods.Between 1980-1990s, this market was increasingly shunned by the community because it became the center of goods from criminal acts.Since it caught fire in 2002, Puring Puring Market has slowly improved itself until now has been a favorite shopping destination for Jakarta.There are hundreds of men's shoe stalls ranging from leather shoes, mountain shoes, futsal shoes, to the typical slang shoes of young people.Various brands ranging from Adidas, Caterpillar, Nike, Karrimor, Vans, to Converse are available in various models and colors."
Grand Indonesia Mall,Jakarta,-6.1951801,106.8204412,"Grand Indonesia is a mall in Jakarta.The mall was opened in 2007 by President Susilo Bambang Yudhoyono.In 2007, Hotel Indonesia experienced restoration.Furthermore, after reopening, the hotel is managed by the Kempinski group and its name is changed to the Indonesia-Kempinski Hotel."
Skyrink - Mall Taman Anggrek,Jakarta,-6.178996,106.791941,"One of the Jakarta Ice Skating arena is Ice Skating Taman Anggrek.The Ice Skating area in Taman Anggrek is made an area of 1,248 square meters.The grandest ice skating in Indonesia is in Taman Anggrek.Not only the grandest in Indonesia but also the grandest in Asia. So from that it is not surprising that many visitors come."
Bumi Perkemahan Cibubur,Jakarta,-6.3602487,106.893842,"Campsite and Graha Tourism Scout Cibubur (Buperta Cibubur) is a campsite area found in Cibubur, Ciracas, East Jakarta.This area has an area of 210 hectares and has been repeatedly a location for the implementation of the National Jamboree since 1973. Buperta Cibubur was built in an area that was previously a rubber forest.The manager also cooperates with the Indonesian Army and Air Force in the management of Buperta Cibubur. Cibuburbuperta can be accessed from the Kampung Rambutan terminal with public transportation majoring in Kranggan or Mekarsari Jonggol,"
Istana Negara Republik Indonesia,Jakarta,-6.168069,106.8239727,"The State Palace is the center of state government activities.Many state activities are held at the State Palace.Such as the inauguration of important state officials, as well as the opening of the national and international congress.The State Palace Function is more focused on official presidential activities, namely as the office of the President of the Republic of Indonesia.Reported by the Secretary of the State Secretary (Sesneg), the State Palace was originally as a private residence of the Dutch, J.A van Braam."
Museum Macan (Modern and Contemporary Art in Nusantara),Jakarta,-6.190942,106.767622,"Modern and Contemporary Art Museum in the archipelago or the tiger museum is an art museum in Kebon Jeruk in Jakarta, Indonesia.This museum is the first in Indonesia to have a collection of modern and contemporary Indonesian and international arts."
Galeri Nasional Indonesia,Jakarta,-6.1785482,106.8327716,"The Indonesian National Gallery (English: National Gallery of Indonesia) is a cultural institution of the state or as a modern and contemporary art museum.Here there are buildings that function, among others, as an exhibition, and Indonesian and foreign arts events.This building is a government -owned institution under the Minister of Education and Culture.The function of the Indonesian National Gallery is to carry out the assessment, collection, registration, maintenance, security, exhibition, partnership, education services and publication of fine arts.Then its main function is to protect, develop, and utilize art assets (art) as educational and cultural facilities.The National Gallery is located at Jalan Medan Merdeka Timur No.14 Central Jakarta."
Museum Bahari Jakarta,Jakarta,-6.1269553,106.8085899,The Maritime Museum is a museum that stores collections related to the Indonesian nation's delivery and services from Sabang to Merauke which is located opposite the Sunda Kelapa port.The museum is one of eight museums under the supervision of the Culture Office of the Museum of the Special Region of the Capital City of Jakarta.
Museum Seni Rupa dan Kramik,Jakarta,-6.1342598,106.814552,"Fine Arts and Ceramic Museums (Indonesia: Fine Arts and Ceramic Museums) is a museum in Jakarta, Indonesia.This museum is specially dedicated to displaying traditional Indonesian art and ceramics.This museum is located on the east side of Fatahillah Field, near the Jakarta History Museum and the Puppet Museum."
The Escape Hunt,Jakarta,-6.2555033,106.8122591,"Escape Hunt is one of the recreation areas located in South Jakarta.In this place, you will act as a detective who is in a locked room and only given 1 hour to solve the puzzle.No need to worry or be afraid alone, because here you can invite up to 4 of your friends in the same room and solve the case together.Very interesting, right?The first time you come to this place, you will be guided to fill in the data on the form provided and given a briefing by the game guide regarding the storyline of the theme/case that you have determined."
Monumen Selamat Datang,Jakarta,-6.1949978,106.8230496,"Welcome Monument is a monument located in the middle of the Hotel Indonesia Roundabout, Jakarta, Indonesia.This monument is a statue of a pair of people who are holding flowers and waving.The statue faces north which means they welcome people who come from the direction of the National Monument."
Jakarta Aquarium dan Safari,Jakarta,-6.1752647,106.7904684,"If you have visited Seaworld Ancol, you might be familiar with the excitement of watching marine life.If you are not satisfied, visitors can try to visit unique marine animal tourism in the Jakarta Aquarium.Jakarta Aquarium occupies an area of ± 7000 m2 offering modern sea tourism attractions that are not only entertaining, also educative.Although not as wide as Seaworld Ancol, this recreational park also offers rides and attractions that are no less interesting."
Pulau Semak Daun,Jakarta,-5.7296716,106.5714158,"Semak Daun Island is one of the islands which is located in the Thousand Islands.Administratively this island is included in the area of the Thousand Islands Regency of DKI Jakarta Province as a scales breeding area with a comfortable beach for swimming because the beach is clean and sloping, white sandy, and free of sea urchins, there is also a good area for diving and snorkeling for beginners and snorkeling and snorkelingIt is located not far from Pramuka Island."
Taman Situ Lembang,Jakarta,-6.1978861,106.8346708,"Situ Lembang Park is a city park located in the center of Jakarta.Situ means a brackish lake, while Lembang is the name of the road near the park.In this park lies the fishing arena facilities, running tracks, and children's games.Situ Lembang Park is surrounded by houses in the Menteng elite area"
Taman Ismail Marzuki,Jakarta,-6.1891586,106.8397738,"The popular Jakarta Taman Ismail Marzuki Taman Art Center called Taman Ismail Marzuki (TIM) is an arts and cultural center located on Jalan Cikini Raya 73, Central Jakarta.Here it is located in the Jakarta Arts Institute and Jakarta Planetarium.In addition, the team also has six modern theater, exhibition centers, galleries, archive buildings, and cinemas.Arts and cultural events are shown routinely in this art center, including the performance of drama, dance, puppets, music, poetry reading, painting exhibitions and film performances.Various types of traditional and contemporary arts, both the original Indonesian traditions and from abroad can also be found in this place.The central name of this art comes from the name of the creator of the famous Indonesian song, Ismail Marzuki."
Galeri Indonesia Kaya,Jakarta,-6.1948499,106.8200607,"Gallery Indonesia Rich (abbreviated GIK) is a public space that combines the concept of education and digital with the aim of introducing and appreciating Indonesian arts, especially to the younger generation, which is located at Grand Indonesia, Jakarta, Indonesia.The Indonesian Gallery is rich and built to become a cultural edutainment space based on digital technology that can closer and channel the creativity of the expression of the younger generation in the scope of the cultural tradition of the archipelago.This place has an auditorium that can be used for people who need a place to work."
Museum Joang 45,Jakarta,-6.1861838,106.8364761,"Joang '45 Building or Joang 45 Museum is one of the museums in Jakarta.At present the management is carried out by the DKI Jakarta Provincial Tourism and Culture Office.The museum is located on Jalan Menteng Raya 31, Kebon Sirih Village, Menteng District, Central Jakarta.The museum was inaugurated in 1974 by President Soeharto, after renovation."
Jakarta Planetarium,Jakarta,-6.1900819,106.8388532,"Planetarium and Observatory Jakarta is one of three sky simulation rides in Indonesia in addition to Kutai, East Kalimantan, and Surabaya, East Java.The oldest Planetarium is located in Taman Ismail Marzuki, Jakarta.Planetarium Jakarta is an educational tourism facility that can present performances / demonstrations of crossing simulation or celestial bodies.Visitors are invited to wander in the universe to understand the conception of the universe through event after event.Planetarium Jakarta was established in 1964 initiated by President Soekarno and handed over to the Provincial Government of DKI Jakarta in 1969. In this place there is also a space exhibition space that presents various photos and complete information from various forms of galaxies, theories of galaxy formation accompanied by the introduction of figuresThe character behind the emergence of theory."
Kampung Cina,Jakarta,-6.3651357,106.7617984,"Kampung China is a dwelling and trade area in Cibubur, East Jakarta.This area was established thanks to the cooperation between the East Jakarta City Government and foreign companies to turn the 300 hectare area of the Cibubur tourism area into a tourist city, Mandiri and Town Center.Quoting the Jakarta Encyclopedia book, the village began operating on September 14, 2002. Buildings, Natural Shades, until the trinkets sold still smelled of Chinese art.All the products that are stated also come from the bamboo curtain country.The region will be a tourist destination at every Chinese New Year celebration."
Rumah Sipitung,Jakarta,-6.10016,106.96057,"Si Pitung's house in Marunda, North Jakarta, Indonesia, is one of the few Betawi stage houses left.This stilt house is a representation of the Betawi community stage residential who lives in coastal areas.This house becomes a museum and enters the cultural heritage.It is unknown when the exact house of Si Pitung was established.It is estimated that the building was built in the 20th century.The house on stilts, which is often also called the Rumah Tinggi Marunda, is similar to the traditional house of the Bugis tribe.This house was owned by Haji Saipudin, a rich sister from a fish dealer from Makassar (another source said Haji Saipudin was Juragan Sero, or a Conglomerate of Ship).Haji Saipuddin is believed to be a close friend of Pitung.Pitung is suspected to have only stopped a few times at the house (estimated in the 1890s).The last time of the Pitung was in order to hide from the pursuit of the Dutch army on charges of robbing.The DKI Jakarta government first re -restored the stilt house that was supported by 40 pillars in 1972. Previously in the same year the building was bought by the DKI Jakarta Provincial Government from the descendants (heirs) H. Saipudin.The building is now a museum and is included in the cultural heritage based on Governor's Decree No.475 of 1993 and Ministerial Decree No.140/M/1998.The institution that gives the name of the original Betawi Coastal house as the Si Pitung home is the National Museum."
Taman Agrowisata Cilangkap,Jakarta,-6.3401514,106.9012561,"This area of around 19 hectares is owned by the DKI Jakarta Provincial Government (Pemprov) which is managed by the DKI Agriculture and Forestry Service.This Agro Cilangkap Tourism Park is located on Jalan Raya Cilangkap No.45, East Jakarta.This park feels so permissive with the growth of various types of shady trees.The coolness of the air that is far from motor vehicle smoke pollution, can also be enjoyed in a park that is used as an alternative tourist destination for residents domiciled around the area.The Cilangkap Agro Tourism Park is also equipped with several facilities such as sports arena, jogging tracks, children's playgrounds, as well as for Ayojakarta friends who have a hobby of fishing, around the park area has a lake that is usually used as an area for fishing."
Klenteng Jin De Yuan,Jakarta,-6.1444737,106.8126018,"Kim Tek Le Temple, or better known as the Temple Jin De Yuan, has been built since 1650. The temple which is touted as the oldest in Jakarta was founded by a Chinese Lieutenant, Kwee Hoen and initially called Koan Im Teng.Jin De Yuan is also known as one of the four large temples managed by Kong Koan or the Chinese council.They are Goenoeng Sari Temple, Toa Peh Kong Temple, Jin De Yuan Temple himself, and Hian Thian Shang Temple in Tanah Tandjoeng which is now destroyed."
Pantai Ancol,Jakarta,-6.1194215,106.8502435,"Ancol Beach is a tourist area which is a beach tourist destination in the city of Jakarta.Tourists can enjoy the fresh atmosphere of lagoon beaches, festivals, beautiful, beach pool and carnaval, and lake dreams.Vacationing in the open is believed to have a calming and pleasant effect.The length of the beach line which is approximately 6.5 km becomes a place for various tourist activities.This beach tourism is the largest BUMD of the second largest regional revenue producing for DKI Jakarta Province."
