Place_Id,Place_Name,Description,Category,City,Rating,Coordinate,Lat,Long,translated_description,translated_category
11,Pulau Bidadari,"Pulau Bidadari merupakan salah satu resor di Kabupaten Kepulauan Seribu, Jakarta. Sebelum bernama Pulau Bidadari, pulau ini memiliki dua nama yaitu Pulau Sakit dan Pulau Purmerend",Bahari,Jakarta,4.6,"{'lat': -6.035832999999999, 'lng': 106.746944}",-6.035833,106.746944,"Bidadari Island is one of the resorts in the Thousand Islands Regency, Jakarta.Before it was named Bidadari Island, this island had two names, namely Hakan Island and Purmerend Island",Nautical
12,Pulau Pari,"Pulau Pari adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia.
",Bahari,Jakarta,4.0,"{'lat': -5.9074328, 'lng': 106.5863989}",-5.9074328,106.5863989,"Pari Island is an island located in the Thousand Islands in the Special Capital Region of Jakarta, Indonesia.",Nautical
13,Pulau Pramuka,Pulau Pramuka merupakan salah satu pulau yang berada dalam gugusan Kepulauan Seribu. Pulau ini merupakan pusat administrasi dan pemerintahan Kabupaten Administrasi Kepulauan Seribu. Pulau Pramuka termasuk ke dalam wilayah Kelurahan Pulau Panggang.,Bahari,Jakarta,4.2,"{'lat': -5.745962, 'lng': 106.6136577}",-5.745962,106.6136577,Pramuka Island is one of the islands that are in the Thousand Islands clusters.This island is a center for administration and government of the Thousand Islands Administration Regency.Pramuka Island is included in the area of Panggang Island.,Nautical
14,Pulau Pelangi,"Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia. Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia, Pulau Pelangi / biasa disebut Pulau Petondan Besar ( Pelangi Island ) merupakan pulau resort yang sesuai untuk berlibur. Pulau Resort ini mempunyai konsep natural, karena sebagian wilayahnya di penuhi dengan rerimbunan pohon yang menyejukan mata, Keindahan alam dan lautnya layak untuk dikunjungi. Dikelilingi oleh rimbunan pohon dan laut berwarana biru jernih membuat suasanan sejuk dan nyaman. Kondisi yang ideal untuk wisata bersama keluarga. Dengan akomodasi yang langsung menghadap ke laut membuat turis betah berlama-lama di Pulau Pelangi.\nMenurut informasi, Pulau Pelangi atau Pulau Petondan Besar merupakan pulau yang berada pada gugusan Kepulauan Seribu. Secara administratif termasuk dalam wilayah Kabupaten Administratif Kepulauan Seribu provinsi DKI Jakarta. Bersamaan dengan Pulau Petondan Kecil merupakan sebuah resort berlibur. Letaknya berdekatan dengan gugusan yang sama dengan Pulau Kelor dan Pulau Kelapa.\nUntuk mencapai Pelangi Resort dibutuhkan waktu 90 menit perjalanan dari dermaga Pantai Mutiara. Terdapat kapal speedboat khusus di pier R1 Pantai Mutiara yang membawa penumpang kesana. Letaknya 60 – 70 km dari Pantai Mutiara memang lumayan jauh. Namun perjalanan anda terbayar lunas begitu sampai di Pulau Pelangi.
",Bahari,Jakarta,4.8,"{'lat': -5.587055, 'lng': 106.5885}",-5.587055,106.5885,"Pelangi Island is an island located in the Thousand Islands in the Special Capital Region of Jakarta, Indonesia.Pelangi Island is an island located in the Thousand Islands in the Special Capital Region of Jakarta, Indonesia, Pelangi Island / commonly called Petondan Besar Island (Pelangi Island) is a resort island that is suitable for a vacation.This resort island has a natural concept, because some of the regions are filled with trees that are soothing to the eyes, the beauty of nature and the sea is worth visiting.Surrounded by the jungle of trees and clear blue sea makes the atmosphere cool and comfortable.The ideal condition for tourism with family.With accommodation that directly facing the sea makes tourists feel at home for long on Pelangi Island.Administratively included in the administrative district of the Thousand Islands of DKI Jakarta Province.Along with Petondan Kecil Island is a vacation resort.It is located close to the same cluster as Kelor Island and Coconut Island. \ N to reach the rainbow resort takes 90 minutes from the Pantai Mutiara Pier.There is a special speedboat ship at Pier R1 Pantai Mutiara that carries passengers there.Its location 60 - 70 km from Pantai Mutiara is indeed quite far.But your trip paid off as soon as it reached Pelangi Island.",Nautical
15,Pasar Seni,"Pasar Seni merupakan Pusat kerajinan dan kesenian yang menjadi wadah bagi seniman berbakat untuk menyalurkan kerajinan seni yang mereka miliki. Seniman dapat bertemu dengan para kolektor seni dan pengusaha untuk saling berbagi informasi dan memasarkan produk yang dimiliki. Didirikan awal tahun 1977, dengan peletakan batu pertama oleh Bang Ali Sadikin, Gubernur pertama DKI Jakarta, tepatnya pada bulan Juli 1977. Dan diresmikan oleh Gubernur H. Tjokropanolo pada tanggal 17 Desember 1977. Sejak diresmikan Pasar Seni, mendapat sambutan positif bagi pada pecinta seni yang ada.",Pusat Perbelanjaan,Jakarta,4.4,"{'lat': -6.1766868, 'lng': 106.8417666}",-6.1766868,106.8417666,"The Art Market is a center for crafts and arts that become a forum for talented artists to channel the arts they have.Artists can meet with art collectors and entrepreneurs to share information and market their products.It was founded in early 1977, with the laying of the first stone by Bang Ali Sadikin, the first Governor of DKI Jakarta, precisely in July 1977. And inaugurated by Governor H. Tjokropanolo on December 17, 1977. Since it was inaugurated the art market, received a positive response to art loverswhich exists.",Shopping center
16,Jembatan Kota Intan,"Jembatan Kota Intan adalah jembatan tertua di Indonesia yang dibangun pada tahun 1628 oleh pemerintah Vereenigde Oostindische Compagnie atau VOC, atau masyarakat kita lebih familiar dengan sebutan Kumpeni. Jembatan itu kini terletak di Kali Besar kawasan Kota Tua wilayah Jakarta Barat dan berada di bawah pengelolaan Dinas Pariwisata dan Kebudayaan Provinsi DKI Jakarta.",Budaya,Jakarta,4.3,"{'lat': -6.1314572, 'lng': 106.8106169}",-6.1314572,106.8106169,"The Intan City Bridge is the oldest bridge in Indonesia which was built in 1628 by the Government of Vereenigde Oostindische Compagnie or VOC, or our society is more familiar with the name Kumpeni.The bridge is now located in the Kali Besar area of the Old City area of West Jakarta and is under the management of the DKI Jakarta Province Tourism and Culture Office.",Culture
17,Museum Fatahillah,"Museum Fatahillah memiliki nama resmi Museum Sejarah Jakarta adalah sebuah museum yang terletak di Jalan Taman Fatahillah No. 1, Jakarta Barat dengan luas lebih dari 1.300 meter persegi.\nBangunan ini dahulu merupakan balai kota Batavia (bahasa Belanda: Stadhuis van Batavia) yang dibangun pada tahun 1707-1710 atas perintah Gubernur-Jendral Joan van Hoorn. Bangunan ini menyerupai Istana Dam di Amsterdam, terdiri atas bangunan utama dengan dua sayap di bagian timur dan barat serta bangunan sanding yang digunakan sebagai kantor, ruang pengadilan, dan ruang-ruang bawah tanah yang dipakai sebagai penjara. Pada tanggal 30 Maret 1974, bangunan ini kemudian diresmikan oleh bapak Ali Sadikin sebagai Museum Sejarah Jakarta.",Budaya,Jakarta,4.4,"{'lat': -6.136448899999999, 'lng': 106.8130661}",-6.1364489,106.8130661,"The Fatahillah Museum has the official name of the Jakarta History Museum is a museum located on Jalan Taman Fatahillah No.1, West Jakarta with an area of more than 1,300 square meters. \ N this building was once the Batavia City Hall (Dutch: Stadhuis van Batavia) which was built in 1707-1710 on the orders of the Governor-Joan Van Hoorn.This building resembles the Dam Palace in Amsterdam, consisting of the main building with two wings in the eastern and western parts and sanding buildings used as offices, courtrooms, and basement spaces used as prisons.On March 30, 1974, this building was then inaugurated by Mr. Ali Sadikin as the Jakarta History Museum.",Culture
18,Museum Bank Indonesia,"Museum Bank Indonesia adalah sebuah museum di Jakarta, Indonesia yang terletak di Jl. Pintu Besar Utara No.3, Jakarta Barat (depan stasiun Beos Kota), dengan menempati area bekas gedung Bank Indonesia Kota yang merupakan cagar budaya peninggalan De Javasche Bank yang beraliran neo-klasikal, dipadu dengan pengaruh lokal, dan dibangun pertama kali pada tahun 1828.\nPada tahun 1625, di tempat ini pernah dibangun sebuah gereja sederhana untuk umat Protestan. Pada tahun 1628, gereja ini dibongkar karena digunakan untuk tempat meriam besar ketika puluhan ribu tentara Sultan Agung menyerang Batavia untuk pertama kali.Museum ini menyajikan informasi peran Bank Indonesia dalam perjalanan sejarah bangsa yang dimulai sejak sebelum kedatangan bangsa barat di Nusantara hingga terbentuknya Bank Indonesia pada tahun 1953 dan kebijakan-kebijakan Bank Indonesia, meliputi pula latar belakang dan dampak kebijakan Bank Indonesia bagi masyarakat sampai dengan tahun 2005. Penyajiannya dikemas sedemikian rupa dengan memanfaatkan teknologi modern dan multi media, seperti display elektronik, panel statik, televisi plasma, dan diorama sehingga menciptakan kenyamanan pengunjung dalam menikmati Museum Bank Indonesia. Selain itu terdapat pula fakta dan koleksi benda bersejarah pada masa sebelum terbentuknya Bank Indonesia, seperti pada masa kerajaan-kerajaan Nusantara, antara lain berupa koleksi uang numismatik yang ditampilkan juga secara menarik.\nPeresmian Museum Bank Indonesia dilakukan melalui dua tahap, yaitu peresmian tahap I dan mulai dibuka untuk masyarakat (soft opening) pada tanggal 15 Desember 2006 oleh Gubernur Bank Indonesia saat itu, Burhanuddin Abdullah, dan peresmian tahap II (grand opening) oleh Presiden RI Susilo Bambang Yudhoyono, pada tanggal 21 Juli 2009.\nMuseum Bank Indonesia buka setiap hari kecuali Senin dan hari libur nasional.",Budaya,Jakarta,4.7,"{'lat': -6.137127, 'lng': 106.813005}",-6.137127,106.813005,"Bank Indonesia Museum is a museum in Jakarta, Indonesia located on Jl.Pintu Besar Utara No.3, West Jakarta (in front of Beos Kota Station), by occupying the area of the former Bank Indonesia City building which is a cultural heritage from Neo-Classical Bank, combined with local influence, and was first built in 1828. \ n on 1625, in this place a simple church was built for Protestants.In 1628, the church was demolished because it was used for a large cannon when tens of thousands of Sultan Agung troops attacked Batavia for the first time. This museum presented information on the role of Bank Indonesia in the history of the nation which began before the arrival of Western nations in the archipelago until the formation of Bank Indonesia onin 1953 and Bank Indonesia policies, including the background and impact of Bank Indonesia's policies for the community up to 2005. The presentation was packaged in such a way as to utilize modern and multi-media technology, such as electronic displays, static panels, plasma television, and dioramas soCreating the comfort of visitors in enjoying the Bank Indonesia Museum.In addition there are also facts and collections of historical objects before the formation of Bank Indonesia, such as in the era of the Kingdoms of the Archipelago, including in the form of a collection of numismatic money that was displayed also interesting.and began to open to the community (soft opening) on December 15, 2006 by the Governor of Bank Indonesia at that time, Burhanuddin Abdullah, and the inauguration of the Phase II (Grand Opening) by Indonesian President Susilo Bambang Yudhoyono, on July 21, 2009. \ nmuseum Bank Indonesia OpenEvery day except Monday and national holidays.",Culture
19,Kidzania,"KidZania adalah sebuah waralaba swasta Meksiko berupa pusat hiburan keluarga yang saat ini beroperasi di 23 lokasi, yang memungkinkan anak-anak melakukan pekerjaan orang dewasa dan mendapat bayaran. KidZania telah dikunjungi oleh lebih dari 31 juta pengunjung di seluruh dunia sejak pembukaannya, menjadikannya salah satu merek hiburan global yang paling cepat berkembang di dunia.",Taman Hiburan,Jakarta,4.6,"{'lat': -6.225073499999999, 'lng': 106.8097144}",-6.2250735,106.8097144,"Kidzania is a Mexican private franchise in the form of a family entertainment center that is currently operating in 23 locations, which allows children to do adults and get paid.Kidzania has been visited by more than 31 million visitors worldwide since its opening, making it one of the fastest growing global entertainment brands in the world.",amusement parks
20,Museum Taman Prasasti,"Museum Taman Prasasti adalah sebuah museum cagar budaya peninggalan masa kolonial Belanda yang berada di Jalan Tanah Abang No. 1, Jakarta Pusat. Museum ini memiliki koleksi prasasti nisan kuno serta miniatur makam khas dari 27 provinsi di Indonesia, beserta koleksi kereta jenazah antik. Museum seluas 1,2 ha ini merupakan museum terbuka yang menampilkan karya seni dari masa lampau tentang kecanggihan para pematung, pemahat, kaligrafer dan sastrawan yang menyatu.
",Budaya,Jakarta,4.5,"{'lat': -6.172224099999998, 'lng': 106.8189695}",-6.1722241,106.8189695,"Taman Prasasti Museum is a cultural heritage museum from the Dutch colonial period located on Jalan Tanah Abang No.1, Central Jakarta.This museum has a collection of ancient gravestones and miniature tomb miniatures from 27 provinces in Indonesia, along with an antique.The 1.2 Ha Museum is an open museum that features works of art from the past about the sophistication of the sculptors, sculptors, calligrafers and writers who are fused.",Culture
21,Museum Wayang,"Museum Wayang adalah sebuah museum yang berlokasi di Jalan Pintu Besar Utara Nomor 27, Jakarta Barat.",Budaya,Jakarta,4.5,"{'lat': -6.1349072, 'lng': 106.8124452}",-6.1349072,106.8124452,"The Wayang Museum is a museum located on Jalan Pintu Besar Utara number 27, West Jakarta.",Culture
22,Masjid Istiqlal,"Masjid Istiqlal (arti harfiah: Masjid Merdeka) adalah masjid nasional negara Republik Indonesia yang terletak di bekas Taman Wilhelmina, di Timur Laut Lapangan Medan Merdeka yang di tengahnya berdiri Monumen Nasional (Monas), di pusat ibukota Jakarta. Masjid ini merupakan salah satu dari 10 masjid terbesar kapasitasnya di dunia yang dapat menampung lebih dari 200.000 jamaah. Di seberang Timur masjid ini berdiri Gereja Katedral Jakarta. Ketua Harian Badan Pengelola Masjid Istiqlal (BPMI) sekaligus Imam Besar Masjid Istiqlal adalah Prof. Dr. Nasaruddin Umar, M.A. Pembangunan masjid ini diprakarsai oleh Presiden Republik Indonesia saat itu, Ir. Soekarno. Peletakan batu pertama sebagai tanda dimulainya pembangunan Masjid Istiqlal dilakukan oleh Ir. Soekarno pada tanggal 24 Agustus 1961. Arsitek Masjid Istiqlal adalah Frederich Silaban, seorang Nasrani.Masjid ini memiliki gaya arsitektur modern dengan dinding dan lantai berlapis marmer, dihiasi ornamen geometrik dari baja antikarat. Bangunan utama masjid ini terdiri dari lima lantai dan satu lantai dasar. Bangunan utama itu dimahkotai satu kubah besar berdiameter 45 meter yang ditopang 12 tiang besar. Menara tunggal setinggi total 96,66 meter menjulang di sudut Selatan selasar masjid. Masjid ini mampu menampung lebih dari 200.000 jamaah.Selain digunakan sebagai aktivitas ibadah umat Islam, masjid ini juga digunakan sebagai kantor berbagai organisasi Islam di Indonesia, aktivitas sosial, dan kegiatan umum. Masjid ini juga menjadi salah satu daya tarik wisata yang terkenal di Jakarta. Kebanyakan wisatawan yang berkunjung umumnya wisatawan domestik di samping sebagian wisatawan asing yang beragama Islam. Masyarakat non-Muslim juga dapat berkunjung ke masjid ini setelah sebelumnya mendapat pembekalan informasi mengenai Islam dan Masjid Istiqlal, meskipun bagian yang boleh dikunjungi kaum non-Muslim terbatas dan harus didampingi pemandu.\nPada tiap hari besar Islam seperti Ramadhan, Idul Fitri, Idul Adha, Tahun Baru Hijriyah, Maulid Nabi Muhammad serta Isra dan Mi'raj, Presiden Republik Indonesia selalu mengadakan kegiatan keagamaan di masjid ini yang disiarkan secara langsung melalui televisi nasional (TVRI) dan sebagian televisi swasta.",Tempat Ibadah,Jakarta,4.7,"{'lat': -6.17017, 'lng': 106.83139}",-6.17017,106.83139,"Istiqlal Mosque (Literal Meaning: Merdeka Mosque) is a National Mosque of the Republic of Indonesia, located in the former Wilhelmina Park, in the northeast of Medan Merdeka Field in the middle of the National Monument (Monas), at the center of the capital city of Jakarta.This mosque is one of the 10 largest mosques in the world that can accommodate more than 200,000 worshipers.Across the east of the mosque stands the Jakarta Cathedral Church.Daily Chairperson of the Istiqlal Mosque Management Agency (BPMI) as well as the High Priest of the Istiqlal Mosque is Prof.Dr.Nasaruddin Umar, M.A.The construction of the mosque was initiated by the President of the Republic of Indonesia at that time, Ir.Soekarno.The laying of the first stone as a sign of the start of the construction of the Istiqlal Mosque was carried out by Ir.Soekarno on August 24, 1961. The architect of the Istiqlal Mosque is Frederich Silaban, a Christian. This mosque has a modern architectural style with marble -coated walls and floors, decorated with geometric ornaments of anti -stains.The main building of this mosque consists of five floors and one ground floor.The main building was crowned a large 45 -meter diameter dome supported by 12 large pillars.A single tower as high as 96.66 meters towering in the southern corner of the mosque.This mosque is able to accommodate more than 200,000 worshipers. In addition to being used as Muslim worship activities, this mosque is also used as an office of various Islamic organizations in Indonesia, social activities, and general activities.This mosque is also one of the famous tourist attractions in Jakarta.Most tourists who visit are generally domestic tourists in addition to some foreign tourists who are Muslim.The non-Muslim community can also visit this mosque after previously getting information on Islam and the Istiqlal Mosque, although the parts that can be visited by non-Muslims are limited and must be accompanied by a guide., Hijriyah New Year, Prophet Muhammad's Birthday and Isra and Mi'raj, the President of the Republic of Indonesia always holds religious activities in this mosque which is broadcast live through National Television (TVRI) and some private television.",Worship place
23,Gereja Katedral,"Gereja Katedral Jakarta, atau bernama resmi Gereja Santa Maria Diangkat Ke Surga (bahasa Jerman: De Kerk van Onze Lieve Vrouwe ten Hemelopneming; bahasa Inggris: The Church of Our Lady of the Assumption) adalah sebuah gereja di Jakarta. Gedung gereja ini diresmikan pada 1901 dan dibangun dengan arsitektur neo-gotik dari Eropa, yakni arsitektur yang sangat lazim digunakan untuk membangun gedung gereja beberapa abad yang lalu.",Tempat Ibadah,Jakarta,4.8,"{'lat': -6.169225000000001, 'lng': 106.833063}",-6.169225,106.833063,"Jakarta Cathedral Church, or officially named the Santa Maria Church was appointed to heaven (German: De Kerk van Onze Lieve Vrouwe Ten Hemelopneming; English: The Church of Our Lady of the Assumption) is a church in Jakarta.This church building was inaugurated in 1901 and was built with neo-gotik architecture from Europe, namely architecture which is commonly used to build church buildings several centuries ago.",Worship place
24,Museum Nasional,"Museum Nasional Republik Indonesia atau Museum Gajah, adalah sebuah museum arkeologi, sejarah, etnografi, dan geografi yang terletak di Jakarta Pusat dan persisnya di Jalan Merdeka Barat 12. Museum ini merupakan museum pertama dan terbesar di Asia Tenggara.",Budaya,Jakarta,4.6,"{'lat': -6.176402099999999, 'lng': 106.8215901}",-6.1764021,106.8215901,"The National Museum of the Republic of Indonesia or the Elephant Museum, is an archeological, historical, ethnographic, and geography museum located in Central Jakarta and exactly on Jalan Merdeka Barat 12. This museum is the first and largest museum in Southeast Asia.",Culture
